,scenario,mod,var,value
117,scenario_15,1,1,0.5265
103,scenario_15,1,2,0.5265
108,scenario_15,1,3,0.5265
128,scenario_15,1,4,0.5265
131,scenario_15,1,5,0.5265
78,scenario_15,2,1,0.5265
70,scenario_15,2,2,0.5265
60,scenario_15,2,3,0.5265
91,scenario_15,2,4,0.5265
81,scenario_15,2,5,0.5265
105,scenario_15,3,1,0.526488760583042
120,scenario_15,3,2,0.41014231425117786
119,scenario_15,3,3,0.4106134870308536
144,scenario_15,3,4,0.410774292547425
143,scenario_15,3,5,0.526495043172811
95,scenario_15,4,1,0.42086700436698365
87,scenario_15,4,2,0.4203845277174471
86,scenario_15,4,3,0.419711993105502
66,scenario_15,4,4,0.4192515634586967
65,scenario_15,4,5,0.4249802850681535
134,scenario_15,5,1,0.20299325179916386
148,scenario_15,5,2,0.4003766642591814
137,scenario_15,5,3,0.40043463277265695
124,scenario_15,5,4,0.39980468132296015
114,scenario_15,5,5,0.5264968721881789
85,scenario_15,6,1,0.5264895835579929
93,scenario_15,6,2,0.39541683465666977
97,scenario_15,6,3,0.39582392014172507
72,scenario_15,6,4,0.3959222991125129
75,scenario_15,6,5,0.3478764656661191
139,scenario_15,7,1,0.3943497833664747
127,scenario_15,7,2,0.3937775131854327
133,scenario_15,7,3,0.39379616609301576
102,scenario_15,7,4,0.3937712576570267
109,scenario_15,7,5,0.39374115858864767
32,scenario_15,8,1,0.39938991758866993
37,scenario_15,8,2,0.4005640005125993
42,scenario_15,8,3,0.3999254782447324
52,scenario_15,8,4,0.3997619519239864
57,scenario_15,8,5,0.4047726067584233
11,scenario_15,9,1,0.20275504990848506
2,scenario_15,9,2,0.393845211460414
5,scenario_15,9,3,0.3942138466369063
17,scenario_15,9,4,0.39431263440363923
21,scenario_15,9,5,0.20328733786822903
142,scenario_15,10,1,0.3486420948983187
129,scenario_15,10,2,0.3854249589537001
130,scenario_15,10,3,0.39578329609190666
104,scenario_15,10,4,0.4083920024506377
106,scenario_15,10,5,0.5264999945638288
80,scenario_15,11,1,0.24330110509719532
92,scenario_15,11,2,0.392958731621518
99,scenario_15,11,3,0.39163084200426695
71,scenario_15,11,4,0.3901140209140987
79,scenario_15,11,5,0.5264977058702259
132,scenario_15,12,1,0.3991188960825348
146,scenario_15,12,2,0.3954604620933326
140,scenario_15,12,3,0.39424314861038384
122,scenario_15,12,4,0.393762918007879
116,scenario_15,12,5,0.3926579723426737
98,scenario_15,13,1,0.35355629066375566
90,scenario_15,13,2,0.3911168076483971
82,scenario_15,13,3,0.3912678648396659
69,scenario_15,13,4,0.3907882539437106
61,scenario_15,13,5,0.5264957657587016
110,scenario_15,14,1,0.39516271871066366
123,scenario_15,14,2,0.39176058248965456
115,scenario_15,14,3,0.3906013776929893
147,scenario_15,14,4,0.39014611176529107
138,scenario_15,14,5,0.38909029362712066
76,scenario_15,15,1,0.5264995369981986
67,scenario_15,15,2,0.3975110325860889
63,scenario_15,15,3,0.3925840370981345
88,scenario_15,15,4,0.38818230973425166
84,scenario_15,15,5,0.20288044560743038
112,scenario_15,16,1,0.3926480816980969
101,scenario_15,16,2,0.39411229971871997
111,scenario_15,16,3,0.3934479387074456
126,scenario_15,16,4,0.39313163902640835
135,scenario_15,16,5,0.39774656028863165
64,scenario_15,17,1,0.5264875531027358
73,scenario_15,17,2,0.3897760497874389
74,scenario_15,17,3,0.39019713787608773
94,scenario_15,17,4,0.3903560542842069
96,scenario_15,17,5,0.2028346337789151
24,scenario_15,18,1,0.2027552170191774
16,scenario_15,18,2,0.3928761146040731
22,scenario_15,18,3,0.3932394977684775
1,scenario_15,18,4,0.39332599470082125
7,scenario_15,18,5,0.2042412180926108
48,scenario_15,19,1,0.2027502444093368
54,scenario_15,19,2,0.39483763505837993
55,scenario_15,19,3,0.39549914856815144
39,scenario_15,19,4,0.39545242558554444
40,scenario_15,19,5,0.39484967624407974
43,scenario_15,20,1,0.3183796310990543
34,scenario_15,20,2,0.4253521294679665
31,scenario_15,20,3,0.39313845462708763
49,scenario_15,20,4,0.3881370471570886
47,scenario_15,20,5,0.2028194164898845
6,scenario_15,21,1,0.39457663515013325
14,scenario_15,21,2,0.39109132315084527
10,scenario_15,21,3,0.3898898799121023
29,scenario_15,21,4,0.3894146595991681
25,scenario_15,21,5,0.38829900033879544
33,scenario_15,22,1,0.3598652574034986
38,scenario_15,22,2,0.3914683578244597
41,scenario_15,22,3,0.3901220621226529
53,scenario_15,22,4,0.3885217280465494
56,scenario_15,22,5,0.5264977423155837
9,scenario_15,23,1,0.5264991647871063
0,scenario_15,23,2,0.387579067554675
8,scenario_15,23,3,0.3905524679672652
15,scenario_15,23,4,0.3902315070484197
23,scenario_15,23,5,0.3901063473488095
45,scenario_15,24,1,0.39605810880815623
51,scenario_15,24,2,0.3926047617022341
59,scenario_15,24,3,0.39139753694152124
36,scenario_15,24,4,0.390933037075794
44,scenario_15,24,5,0.3898870203396874
27,scenario_15,25,1,0.20275030679411243
18,scenario_15,25,2,0.39136312441164006
19,scenario_15,25,3,0.3921760553687721
3,scenario_15,25,4,0.39212027232848684
4,scenario_15,25,5,0.39135761302083405
58,scenario_15,26,1,0.5265
50,scenario_15,26,2,0.387005680506739
46,scenario_15,26,3,0.3887611250848546
35,scenario_15,26,4,0.391552590868401
30,scenario_15,26,5,0.4166884630281278
20,scenario_15,27,1,0.5264993271193545
28,scenario_15,27,2,0.390110657160203
26,scenario_15,27,3,0.38847794490568655
13,scenario_15,27,4,0.3863969387541907
12,scenario_15,27,5,0.5264999325625376
77,scenario_15,28,1,0.39505866002085227
68,scenario_15,28,2,0.3916253975630431
62,scenario_15,28,3,0.390467115667432
89,scenario_15,28,4,0.38998911602824227
83,scenario_15,28,5,0.3889165211290367
107,scenario_15,29,1,0.38781521743726266
121,scenario_15,29,2,0.38982818389961404
118,scenario_15,29,3,0.3891700533693337
145,scenario_15,29,4,0.38870785679969655
141,scenario_15,29,5,0.39280558391009407
