scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time,termination_status
scenario_180,46685.356227832846,0.1352116983723526,495676.07774249546,542361.5691820267,8.685678005218506,LOCALLY_SOLVED
scenario_181,46468.39138432476,0.135253710075494,491543.0493425225,538011.5759805574,4.954286098480225,LOCALLY_SOLVED
scenario_182,46656.62372628312,0.1764111051014431,489571.1127741031,536227.9129114914,25.398391008377075,LOCALLY_SOLVED
scenario_183,46872.9916736,0.1774297705959955,522317.498281814,569190.6673851846,3.991777896881104,LOCALLY_SOLVED
scenario_184,46611.98865511092,0.1354662443175944,485762.22363023064,532374.3477515859,8.17474102973938,LOCALLY_SOLVED
scenario_185,47004.9505305861,0.1771285491281365,546309.9724890767,593315.1001482119,5.2666990756988525,LOCALLY_SOLVED
scenario_186,46305.52291685754,0.1344288305817173,507299.2404922642,553604.8978379524,12.816096067428589,NUMERICAL_ERROR
scenario_187,46684.89058710156,0.1352272430023659,495344.6189894139,542029.6448037585,14.665158987045288,LOCALLY_SOLVED
scenario_188,46590.164693138126,0.1354550235359405,503436.41589596,550026.7160441217,5.7580180168151855,LOCALLY_SOLVED
scenario_189,46346.96605115739,0.1347733166024038,498730.54438272014,545077.6452071941,5.722214937210083,LOCALLY_SOLVED
scenario_190,46920.57878830104,0.1766934214680993,527863.2043796786,574783.9598614011,3.73420000076294,LOCALLY_SOLVED
scenario_191,46671.55154076112,0.1763796452803492,496272.246659116,542943.9745795224,51.03726005554199,LOCALLY_SOLVED
scenario_192,46563.381217151866,0.1350335725160663,487562.2352880693,534125.7515387937,19.98837184906006,LOCALLY_SOLVED
scenario_193,47022.74046645126,0.2015119452662876,544075.1995218524,591098.1415002489,4.315481185913086,LOCALLY_SOLVED
scenario_194,46863.88831110254,0.1769637587708882,522963.42241194425,569827.4876868055,3.750967025756836,LOCALLY_SOLVED
scenario_195,46721.07701068794,0.1773664439689966,500762.99894992064,547484.2533270526,3.984850883483887,LOCALLY_SOLVED
scenario_196,46394.33681260423,0.1348427254120959,489628.1683922164,536022.640047546,8.13499903678894,LOCALLY_SOLVED
scenario_197,46672.285835089766,0.1773934143349653,499303.31431966956,545975.7775481737,3.636139869689941,LOCALLY_SOLVED
scenario_198,46974.08478871817,0.170205644471711,538915.3069337095,585889.5619280721,2.852191925048828,LOCALLY_SOLVED
scenario_199,46452.42526228703,0.1351230694003323,490260.23937225796,536712.7997576144,4.573392868041992,LOCALLY_SOLVED
scenario_200,46823.19874477543,0.1769485201694743,519570.84756407,566394.2232573656,5.165639162063599,LOCALLY_SOLVED
scenario_201,46108.609286719,0.4157668552278202,478067.05640135106,524176.0814549253,7.666635036468506,LOCALLY_SOLVED
scenario_202,46747.77763990684,0.1352456263877086,516951.7782732691,563699.6911588024,4.100651025772095,LOCALLY_SOLVED
scenario_203,47084.26282798151,0.1770739921080506,550883.8915206151,597968.3314225887,3.335689783096313,LOCALLY_SOLVED
scenario_204,46422.96598378745,0.176123621175629,490434.98098790704,536858.1230953156,5.613682985305786,LOCALLY_SOLVED
scenario_205,47338.30735002444,0.201350806002487,601142.0892765658,648480.5979773962,4.309576988220215,LOCALLY_SOLVED
