scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time,ipopt_obj,ipopt_time,termination_status
scenario_301,42855.17623144992,0.4372922657376178,564879.6228350541,607735.2363587697,2.1196129322052,14.75806999206543,0.0,17.086864948272705,404928.5108562638,7.608419895172119,LOCALLY_SOLVED
scenario_302,42879.60624136933,0.3857351385623585,566241.7907058711,609121.782682379,2.597830057144165,13.81539797782898,0.0,16.647074937820435,404889.7775428015,6.559717893600464,LOCALLY_SOLVED
scenario_303,42845.051121004806,0.3400366452444704,559480.9818167461,602326.3729743961,2.682810068130493,16.755380868911743,0.0,19.7153160572052,405431.4016310659,8.44824504852295,LOCALLY_SOLVED
scenario_304,42844.27532381587,0.3563135817362194,566320.1324540944,609164.7640914919,2.458515882492065,12.972208976745604,0.0,15.638365030288696,405084.05601070647,5.767659902572632,LOCALLY_SOLVED
scenario_305,43385.93562831768,0.3359948778739779,581503.3199800726,624889.591603268,2.569205045700073,13.174633979797363,0.0,15.95389199256897,405887.4678975827,5.869448900222778,LOCALLY_SOLVED
scenario_306,42530.47808818657,0.4305730726145896,562801.8077042267,605332.7163654859,2.847998857498169,15.189732074737549,0.0,18.247007846832275,404538.3169706892,7.53167200088501,LOCALLY_SOLVED
scenario_307,43064.81401395698,0.3962801216622491,551886.3770572416,594951.5873513203,2.8419008255004883,12.737174987792969,0.0,15.78924298286438,405483.71522201056,5.020293951034546,LOCALLY_SOLVED
scenario_308,42317.90977935866,0.4361253419737651,556204.4848534691,598522.8307581698,2.864600896835327,15.47437310218811,0.0,18.56295084953308,404295.5736923921,6.07060694694519,LOCALLY_SOLVED
scenario_309,43142.58921527433,0.3296700894993243,571320.151006091,614463.0698914549,2.8261239528656006,14.840305089950562,0.0,17.876112937927246,405620.80577499006,6.438076972961426,LOCALLY_SOLVED
scenario_310,42656.23100382956,0.282232898604446,569075.4162755476,611731.9295122757,2.5184929370880127,14.335299015045166,0.0,17.0676109790802,404676.2397929729,6.013952016830444,LOCALLY_SOLVED
scenario_311,42720.43781171516,0.3910661349817032,565037.9456600124,607758.7745378625,2.4720470905303955,14.631808996200562,0.0,17.313038110733032,404844.32905192807,5.855338096618652,LOCALLY_SOLVED
scenario_312,42863.81698810069,0.4368934402387925,556803.1229308721,599667.3768124131,2.39192008972168,17.85090208053589,0.0,20.453500032424927,405359.40265864064,9.567565202713013,LOCALLY_SOLVED
scenario_313,43382.20355703996,0.2134080096566321,592194.7080797307,635577.1250447803,2.615913152694702,11.932925939559937,0.0,14.760189056396484,406010.7579440464,4.674911022186279,LOCALLY_SOLVED
scenario_314,42685.401162529226,0.3650582606546037,559282.9271488447,601968.6933696346,2.8278450965881348,18.712998867034912,0.0,21.817450046539307,404664.6379628193,9.817496061325071,LOCALLY_SOLVED
scenario_315,42331.95367097591,0.3827095474658327,543937.6597927259,586269.9961732493,2.818315029144287,17.640302896499634,0.0,20.66851782798767,404176.1919314434,10.170944929122925,LOCALLY_SOLVED
scenario_316,41811.80317738745,0.3960629859652849,545920.1789831877,587732.3782235611,2.4215428829193115,15.75743317604065,0.0,18.389554977416992,403148.5585609882,6.705745220184326,LOCALLY_SOLVED
scenario_317,42572.2566187357,0.415144632548615,561528.4122917835,604101.0840551518,2.837707996368408,17.526562929153442,0.0,20.58957004547119,405105.848146486,8.541118144989014,LOCALLY_SOLVED
scenario_318,42617.62128771897,0.2488817284422726,558638.5294213803,601256.3995908276,2.38552188873291,16.512773036956787,0.0,19.17426586151123,404670.9599054547,8.747153043746948,LOCALLY_SOLVED
scenario_319,42236.34480166075,0.3203916778649149,540074.5855702292,582311.2507635679,2.5577759742736816,14.47163701057434,0.0,17.23935890197754,404023.6469555829,7.187402963638306,LOCALLY_SOLVED
scenario_320,42419.56915714557,0.2695193048329365,535909.2554197682,578329.0940962186,2.834451913833618,15.06499409675598,0.0,18.10958504676819,404847.066052884,7.4540698528289795,LOCALLY_SOLVED
scenario_321,43333.25041412258,0.5611273119702426,580079.4476284657,623413.2591699002,2.6099607944488525,13.26153302192688,0.0,16.107823848724365,405774.4506579237,5.959900856018066,LOCALLY_SOLVED
scenario_322,43661.33748374781,0.4072833784717489,581342.1112493252,625003.8560164515,2.4140939712524414,12.917814016342165,0.0,15.543008089065552,406887.885178474,5.151687860488892,LOCALLY_SOLVED
scenario_323,43056.21841252521,0.4412123348784864,564919.1870761394,607975.8467009994,2.757651090621948,17.109676837921143,0.0,20.078685998916622,405607.0693593144,8.32447600364685,LOCALLY_SOLVED
scenario_324,42990.471160789326,0.2592959842647827,553240.8794143954,596231.609871169,2.4418179988861084,17.753618955612183,0.0,20.41470313072205,405353.8094747116,9.1142098903656,LOCALLY_SOLVED
scenario_325,42641.1888618188,0.3796330936279506,560637.4960299339,603279.0645248464,2.7984490394592285,17.62515902519226,0.0,20.701452016830444,404640.971982094,10.273987054824827,LOCALLY_SOLVED
scenario_326,42962.75415867029,0.4109804125955771,571294.5889019886,614257.7540410715,2.796865940093994,15.32556700706482,0.0,18.332945108413696,405307.8341735046,7.592181205749512,LOCALLY_SOLVED
scenario_327,42012.99620996463,0.4253515152535982,553192.4009879479,595205.8225494279,2.418853044509888,17.02672505378723,0.0,19.655724048614506,403544.4626833234,9.478296041488647,LOCALLY_SOLVED
scenario_328,42420.61334326009,0.3891549489408024,565431.6635452926,607852.6660435016,2.862995147705078,16.4293429851532,0.0,19.515371084213257,404214.83855695307,7.57731294631958,LOCALLY_SOLVED
scenario_329,43471.23569023033,0.5611786074386952,577801.5584377259,621273.3553065637,2.4137210845947266,12.997182846069336,0.0,15.62193489074707,405976.6557562388,5.648206949234009,LOCALLY_SOLVED
scenario_330,42732.07281329512,0.4249403984999269,555946.9422247404,598679.439978434,2.845787048339844,19.297744035720825,0.0,22.35433602333069,405018.6941544584,10.564504146575928,LOCALLY_SOLVED
scenario_331,43058.9559408138,0.2438394609627432,574598.3489004208,617657.5486806956,2.6417150497436523,15.48992109298706,0.0,18.35170102119445,405109.7070780621,7.817361831665039,LOCALLY_SOLVED
scenario_332,42209.223763094094,0.4329705313481642,550310.9202484051,592520.5769820305,2.86704683303833,16.184616088867188,0.0,19.261745929718018,404374.7468995033,7.4556989669799805,LOCALLY_SOLVED
scenario_333,42218.40576863531,0.3582040846249543,551950.4406950409,594169.2046677608,2.634532928466797,14.238942861557009,0.0,17.082695960998535,403973.2674111726,7.020372152328491,LOCALLY_SOLVED
scenario_334,43200.16984292131,0.4271451358179859,564846.9620630995,608047.5590511566,2.4388070106506348,13.486289978027344,0.0,16.135823965072632,405387.301974016,5.611471891403198,LOCALLY_SOLVED
scenario_335,43330.001180378335,0.3355449940599712,579043.4967884035,622373.8335137758,2.424447059631348,14.477139949798584,0.0,17.111056089401245,406099.5965655248,6.306545972824097,LOCALLY_SOLVED
scenario_336,43609.73039318952,0.386483773541267,580945.765160725,624555.882037688,2.820085048675537,15.26071000099182,0.0,18.358438968658447,406337.1231847503,6.30328893661499,LOCALLY_SOLVED
scenario_337,43640.2655123708,0.5792994049788653,598440.3017795447,642081.1465913204,2.4144880771636963,13.963810920715332,0.0,16.61349606513977,406369.9615981052,5.960834980010986,LOCALLY_SOLVED
