scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time
scenario_1,43018.35321958618,0.0531903504074581,559058.5594851956,602076.9658951322,2.1379148960113525,13.89998698234558,0.0,16.24764585494995
scenario_2,42304.93227388119,0.4282563245527104,548262.7109463661,590568.0714765718,2.5442380905151367,15.600705862045288,0.0,18.440534114837646
scenario_3,43491.019798113804,0.5535023167446871,574951.9968811716,618443.5701816021,2.6634440422058105,16.668145895004272,0.0,19.542765140533447
scenario_4,42997.51847916862,0.3803370377079503,571827.9558733143,614825.8546895207,2.5729119777679443,15.22000002861023,0.0,18.015131950378414
scenario_5,41665.82075444657,0.4422419502547953,537422.0609352252,579088.3239316221,2.2699379920959477,13.835949897766112,0.0,16.316946983337402
scenario_6,42174.39262066816,0.4342217754959886,544170.7210995666,586345.5479420102,2.1508140563964844,13.802303075790403,0.0,16.164652109146118
scenario_7,42474.92423981322,0.3496756891053497,560562.1820698201,603037.4559853225,2.4097840785980225,15.27311396598816,0.0,17.893357038497925
scenario_8,42574.53024340996,0.4024646473872162,556649.8237127536,599224.7564208109,2.1499178409576416,12.824292182922363,0.0,15.184587955474854
scenario_9,41377.67741940941,0.363510773340405,512056.5813112739,553434.6222414566,2.8832709789276123,18.783824920654297,0.0,21.877115964889526
scenario_10,43048.83068292255,0.1484707644975268,574836.9876580276,617885.9668117146,2.1365199089050293,20.331799030303955,0.0,22.676893949508667
scenario_11,42386.80781505589,0.428224250668996,552336.0250713935,594723.2611107,2.144818067550659,14.262274980545044,0.0,16.61729598045349
scenario_12,43313.685516823854,0.2736211871632137,584469.7794869584,627783.7386249694,2.852458953857422,15.325808048248293,0.0,18.388535976409912
scenario_13,43318.56797337119,0.2641459199901287,578382.4546098645,621701.2867291557,2.479137897491455,15.0473370552063,0.0,17.750959873199463
scenario_14,42839.63068646552,0.4121438307598235,564064.1327820275,606904.1756123238,2.4110331535339355,14.997609853744509,0.0,17.632102012634277
scenario_15,41546.98516992924,0.3698792885361603,531473.9891660085,573021.3442152264,2.4099831581115723,13.04755187034607,0.0,15.668758153915403
scenario_16,43157.55939924996,0.4293135092563604,573014.3997498779,616172.3884626371,2.845643997192383,16.074347019195557,0.0,19.13029193878174
scenario_17,42496.7641188788,0.4133056677808513,541380.5689753434,583877.7463998899,2.830732107162476,14.398913860321043,0.0,17.44006109237671
scenario_18,43362.95108881868,0.2268609990375733,569631.1507579935,612994.3287078112,2.413191080093384,13.900590896606444,0.0,16.538963079452515
scenario_19,43161.933016226845,0.4309654909418501,582138.6862945687,625301.0502762866,2.427767038345337,14.675464153289797,0.0,17.311683177947998
scenario_20,43213.05593363316,0.1194013884179009,586832.4880813283,630045.6634163499,2.837334156036377,15.493271827697754,0.0,18.554460048675537
scenario_21,42319.84222895015,0.4111694601861734,535663.7412495266,577983.994647937,2.838531970977783,15.2547709941864,0.0,18.30339097976685
scenario_22,43806.18018009128,0.2404971694175021,589250.1528746972,633056.573551958,2.839823007583618,12.612262964248655,0.0,15.662652015686035
scenario_23,42833.70002173561,0.3285037010482554,558892.0259151944,601726.0544406311,2.415369033813477,17.765396118164062,0.0,20.45875120162964
scenario_24,41962.35052188489,0.4438323225204522,541430.77735271,583393.5717069175,2.3924648761749268,17.14992594718933,0.0,19.77025079727173
scenario_25,42595.66619464214,0.2689202440431028,559589.6698660045,602185.6049808906,2.40614914894104,17.78751802444458,0.0,20.404078006744385
scenario_26,43784.70306874957,0.4895839905088442,597677.2696452898,641462.4622980298,2.7462730407714844,14.52815079689026,0.0,17.48408794403076
scenario_27,41928.872626187134,0.3173840297188684,541576.8879719699,583506.0779821868,2.382082939147949,13.156264066696169,0.0,15.747169017791748
scenario_28,42854.90662861224,0.4147127488570412,555928.0637465551,598783.3850879162,2.8477859497070312,16.459584951400757,0.0,19.51664400100708
scenario_29,43671.56348823414,0.5180389087182864,594120.4432465436,637792.5247736865,2.1065499782562256,12.166404008865356,0.0,14.483236074447632
scenario_30,43240.23928857841,0.0242344094033355,582094.2826078449,625334.5461308328,2.187174081802368,16.65790104866028,0.0,19.122633934021
scenario_31,42288.2912156167,0.3001319674979346,558954.5088404225,601243.1001880066,2.3914730548858643,16.43434476852417,0.0,19.03602504730225
scenario_32,42332.38455435922,0.4104049488427613,564741.5177090529,607074.312668361,2.150410890579224,14.292874097824097,0.0,16.653007984161377
scenario_33,43466.66422011204,0.5577102119291226,585832.1822796189,629299.4042099429,2.8404788970947266,14.646136999130247,0.0,17.696693897247314
scenario_34,43176.89624568774,0.365582644151764,566591.2959200456,609768.5577483774,2.837623119354248,13.718896865844728,0.0,16.764889001846313
scenario_35,41799.90129043383,0.3694770252849719,535457.6784899028,577257.9492573619,2.845736026763916,15.745663166046144,0.0,18.868824005126957
scenario_36,43364.41308365312,0.3767501234311766,572174.035987143,615538.8258209196,2.834887981414795,19.54663610458374,0.0,22.591610193252563
scenario_37,43599.6869568503,0.4733060034283535,598792.340216555,642392.5004794088,2.2812960147857666,14.325363159179688,0.0,16.817357063293457
scenario_38,42024.3675816532,0.1258681431468051,553809.9823412593,595834.4757910556,2.427542924880981,15.377965927124023,0.0,18.014219999313354
scenario_39,42599.14433802288,0.4043160499220019,549703.4428510842,592302.991505157,2.409731149673462,13.582947969436646,0.0,16.206112146377563
scenario_40,43065.28400283201,0.2790553869277515,562540.6870284898,605606.2500867087,2.607743978500366,16.820168018341064,0.0,19.650492906570435
scenario_41,42200.69086497174,0.3585123934766174,538298.0917170395,580499.1410944047,2.530648946762085,18.50072312355041,0.0,21.241623878479004
scenario_42,43516.12636277831,0.3931943796891436,590330.6184503181,633847.1380074761,2.400179862976074,16.66521716117859,0.0,19.290307998657227
scenario_43,42420.97978128113,0.432585859785791,546858.3625656879,589279.7749328287,2.407979965209961,17.336994171142578,0.0,19.95476794242859
scenario_44,42767.94451262081,0.439083600479606,558645.6125285905,601413.9961248118,2.8454058170318604,19.908027172088623,0.0,23.01652884483337
scenario_45,43077.016258307805,0.3757300123502659,571583.826746791,614661.2187351112,2.8413238525390625,13.150521993637083,0.0,16.20045781135559
scenario_46,42729.0352833958,0.4044970168533141,552354.0740639169,595083.5138443296,2.4074649810791016,14.999336004257202,0.0,17.61709713935852
scenario_47,43380.31242137199,0.2312133951090016,579750.6784336589,623131.222068426,2.487514019012451,15.472615957260132,0.0,18.178953886032104
scenario_48,42548.31985510873,0.3544548921451252,549275.7428001038,591824.4171101047,2.398509979248047,19.16127300262451,0.0,21.76966500282288
scenario_49,43551.699554531966,0.3434477958718761,581983.3970286347,625535.4400309625,2.8151450157165527,13.591232061386108,0.0,16.61588191986084
scenario_50,43087.66670665336,0.4049628792832462,579191.0643874734,622279.1360570061,2.426115036010742,16.671282052993774,0.0,19.308617115020752
