scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time,termination_status
scenario_180,27445.12249471441,0.0897069038188362,6646913.994185543,6674359.206387161,5.277060031890869,LOCALLY_SOLVED
scenario_181,43973.804877613205,0.4751475958718804,597996.8011090199,641971.081134229,6.424265861511231,LOCALLY_SOLVED
scenario_182,44324.135772200265,0.4785467828875996,594240.6636117665,638565.2779307497,6.703524112701416,LOCALLY_SOLVED
scenario_183,44598.4895028866,0.4785763306042128,596964.2171184658,641563.185197683,5.030260801315308,LOCALLY_SOLVED
scenario_184,27384.367738344023,0.6376724099865282,6400642.075915536,6428027.08132629,3.1087231636047363,LOCALLY_SOLVED
scenario_185,44859.318146291625,0.4781994333177231,590638.8008066204,635498.5971523453,8.631635904312134,LOCALLY_SOLVED
scenario_186,26988.397409492303,0.0292444275868633,5870560.2471228,5897548.67377672,3.550304889678955,LOCALLY_SOLVED
scenario_187,27440.11014148317,0.9318878401411405,6386625.486645975,6414066.528675298,4.662342071533203,LOCALLY_SOLVED
scenario_188,27326.002470440773,0.4152216909585722,6095775.774451394,6123102.192143525,4.806073904037476,LOCALLY_SOLVED
scenario_189,43770.51188473223,0.4760100976126645,592304.4520040676,636075.4398988974,5.977109909057617,LOCALLY_SOLVED
scenario_190,44837.18846775036,0.1228214662503263,779316.1313438821,824153.4426330987,4.667022943496704,LOCALLY_SOLVED
scenario_191,27429.54530367747,0.3165615800420531,7849087.495277877,7876517.357143135,3.174133062362671,LOCALLY_SOLVED
scenario_192,27326.837814571416,0.2007696495377386,6351616.674400081,6378943.712984302,5.796038866043091,LOCALLY_SOLVED
scenario_193,44814.15072396117,0.4789987291637479,594744.2374174298,639558.8671401201,5.664517879486084,LOCALLY_SOLVED
scenario_194,44652.95333182347,0.4781797623164084,592785.3718239793,637438.8033355651,8.694761991500854,LOCALLY_SOLVED
scenario_195,27471.699369083497,0.4451170802641943,6385870.7927584415,6413342.937244605,4.253180980682373,LOCALLY_SOLVED
scenario_196,27160.962436843736,0.0980013212986932,6281207.004501838,6308368.064940004,4.460850954055786,LOCALLY_SOLVED
scenario_197,27435.9919136084,0.4544496251955979,6670896.664946931,6698333.111310165,3.4477908611297607,LOCALLY_SOLVED
scenario_198,27725.937878757388,4.773306089039982e-05,6924835.587089964,6952561.525016455,6.123276948928833,LOCALLY_SOLVED
scenario_199,43950.10550670067,0.4757306118625886,589949.9147780667,633900.4960153792,6.44222903251648,LOCALLY_SOLVED
scenario_200,27582.154916605985,1.0362537354797885,6438840.033666736,6466423.224837078,3.946483850479126,LOCALLY_SOLVED
scenario_201,26848.170342150755,0.9023336288191288,5439551.859822264,5466400.932498043,4.5703489780426025,LOCALLY_SOLVED
scenario_202,27457.51783408778,0.2669570377370996,6181164.684306912,6208622.469098038,3.5655319690704346,LOCALLY_SOLVED
scenario_203,45040.674018409816,0.4775718198770997,588810.9032063604,633852.0547965901,7.018061876296997,LOCALLY_SOLVED
scenario_204,43867.91277441055,0.4761298526484231,598189.3766818792,642057.7655861423,5.154144048690796,LOCALLY_SOLVED
scenario_205,45281.58147166465,0.2927560423660204,588533.6257827649,633815.5000104719,7.273658037185669,LOCALLY_SOLVED
