scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time,termination_status
scenario_180,42996.42383324217,0.0571787015654135,605528.174283807,648524.6552957508,3.576443910598755,LOCALLY_SOLVED
scenario_181,42583.006242234536,0.0573452585252907,610836.0628169907,653419.1264044837,3.8736047744750977,LOCALLY_SOLVED
scenario_182,42853.74134294623,0.0618008377197183,614038.7313900967,656892.5345338807,3.3946120738983154,LOCALLY_SOLVED
scenario_183,43284.821981025816,0.0610863770970679,621823.2568048226,665108.1398722255,4.752570867538452,LOCALLY_SOLVED
scenario_184,42942.14082213709,0.0610987540709711,618529.9368984958,661472.138819387,3.780104875564575,LOCALLY_SOLVED
scenario_185,43530.93769435404,0.0610360541028262,627064.8213082696,670595.8200386778,4.083921909332275,LOCALLY_SOLVED
scenario_186,42288.67222138709,0.0576969754102448,581234.0822173923,623522.8121357547,4.180132865905762,LOCALLY_SOLVED
scenario_187,42914.13094115844,0.0610856732720569,615972.5855667116,658886.7775935433,4.024285078048706,LOCALLY_SOLVED
scenario_188,42757.73499154697,0.057314743680549,612279.368011144,655037.1603174347,3.56256103515625,LOCALLY_SOLVED
scenario_189,42489.377293509126,0.0573256169537604,583521.9848368121,626011.4194559382,4.715873003005981,LOCALLY_SOLVED
scenario_190,43446.78926466193,0.3293593666684751,621019.1434849367,664466.2621089653,4.383533000946045,LOCALLY_SOLVED
scenario_191,42939.730472371855,0.0562104347198795,610151.0366247104,653090.823307517,4.704689979553223,LOCALLY_SOLVED
scenario_192,42805.086419826446,0.0573399144819121,608651.3551453357,651456.4989050766,4.181567907333374,LOCALLY_SOLVED
scenario_193,43458.27676234316,0.0610827819515216,624617.1052917404,668075.4431368655,5.234723091125488,LOCALLY_SOLVED
scenario_194,43406.64435518012,0.1291915282923859,640568.0916993505,683974.8652460589,5.079854965209961,LOCALLY_SOLVED
scenario_195,42998.82557664692,0.060531507655748,618105.4475196952,661104.3336278497,3.8713109493255615,LOCALLY_SOLVED
scenario_196,42575.13846551004,0.057339017783951,605334.2719422731,647909.467746801,3.759749174118042,LOCALLY_SOLVED
scenario_197,42952.82767704074,0.0610650687592344,618340.4868834582,661293.3756255677,3.300662040710449,LOCALLY_SOLVED
scenario_198,43500.39060063141,0.0610869503611671,625860.1355790205,669360.5872666022,4.290666818618774,LOCALLY_SOLVED
scenario_199,42600.46245290472,0.0565141095555668,609529.9000140523,652130.4189810666,3.273630857467652,LOCALLY_SOLVED
scenario_200,43202.26795391853,0.0610568792378698,621724.4489230898,664926.7779338876,4.803886890411377,LOCALLY_SOLVED
scenario_201,42089.70510621366,0.0565907993525289,583076.4757644269,625166.2374614399,3.072709083557129,LOCALLY_SOLVED
scenario_202,43080.7440926495,0.0610266378579848,619432.8130292157,662513.618148503,4.160593032836914,LOCALLY_SOLVED
scenario_203,43829.300747486384,0.3360034291995413,634174.7599826946,678004.3967336102,3.7027108669281006,LOCALLY_SOLVED
scenario_204,42596.19915802706,0.0573059621565628,603693.393668562,646289.6501325513,3.8029239177703857,LOCALLY_SOLVED
scenario_205,44063.88029050187,0.3307780740020079,605603.7806494079,649667.9917179837,4.402456998825073,LOCALLY_SOLVED
