scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time
scenario_140,44013.01368144997,0.0574720542323572,625567.5823521684,669580.6535056726,7.733635187149048
scenario_141,43376.58278829763,0.0574464891991749,605819.2086333602,649195.848868147,7.464893102645874
scenario_142,39319.51898377504,0.5429435369434682,764339.8614539462,803659.9233812582,3.529858112335205
scenario_143,43166.93335369432,0.0574166634578976,595728.4956563209,638895.4864266787,5.743409872055054
scenario_144,43680.39027131103,0.0574130562135889,622489.1945530134,666169.6422373807,6.8013670444488525
scenario_145,43635.759273439886,0.0574566716956143,606213.2693096161,649849.0860397277,6.577759981155396
scenario_146,43507.91195940047,0.057394085186275,612601.8262519874,656109.795605473,4.930891036987305
scenario_147,42918.712735024725,0.0569755304824138,588621.7838303036,631540.5535408588,13.205724954605104
scenario_148,43608.23248758111,0.0574775639897685,622524.79452754,666133.084492685,8.235343933105469
scenario_149,44468.26405678527,0.0574957614299555,647305.3210990931,691773.6426516398,6.003984212875366
scenario_150,42857.94099379733,0.0582808031813377,597245.1348341823,640103.1341087829,4.171958923339844
scenario_151,43431.22621312609,0.0583113158265748,609441.930820111,652873.2153445529,3.517788887023926
scenario_152,43535.20835284665,0.0574414492270948,617945.0811929145,661480.3469872104,5.287158012390137
scenario_153,42979.44134846437,0.0582792940698116,594831.1580249011,637810.6576526595,2.9208850860595703
scenario_154,43672.794304912575,0.057515027576293,622593.9309861785,666266.7828061186,5.988173007965088
scenario_155,43571.93868963026,0.057471083189718,617265.215152484,660837.2113131975,6.272789001464844
scenario_156,43071.10142736687,0.0582413104990552,602844.3170811848,645915.4767498622,4.107767105102539
scenario_157,43498.74858195844,0.0574590996167787,613449.1766385372,656947.9826795952,7.615467071533203
scenario_158,43348.31490303755,0.0582082737563154,612703.682416185,656052.0555274964,3.868924856185913
scenario_159,43176.16976196036,0.058299416034865,597301.1561740403,640477.3842354167,3.3424489498138428
scenario_160,43963.16810451867,0.0575002483516282,633486.4180986267,677449.6437033936,5.090568065643311
scenario_161,42577.193353611285,0.0582268620749967,587787.3119720711,630364.5635525445,3.5058209896087646
scenario_162,43765.54959192112,0.0574949347877475,619421.4180659698,663187.0251528258,5.02622389793396
scenario_163,43567.02984712194,0.0574936879106953,610973.4458276621,654540.533168472,6.435092926025391
scenario_164,43377.48962301723,0.0573895529693989,605141.2379366612,648518.7849492314,5.548870086669922
scenario_165,43300.5063494405,0.0573799597339088,605098.5423169683,648399.1060463686,5.048084020614624
scenario_166,43483.116742449136,0.0573728693755194,610208.6648322048,653691.8389475234,5.845213174819946
scenario_167,43316.29021955761,0.05821349329054,591396.1753576592,634712.5237907101,5.935705900192261
scenario_168,43646.0210705839,0.0574917194655604,621057.831710785,664703.9102730884,7.356105089187622
scenario_169,43543.52080297708,0.0574655781987305,619492.9533829103,663036.5316514656,5.270678997039795
scenario_170,43352.46735332283,0.0574121465836763,614070.838750955,657423.3635164243,5.012324810028076
scenario_171,43856.69081356228,0.057469745666085,633697.369554035,677554.117837343,4.826937913894653
scenario_172,42998.46274510555,0.0583144347933513,602889.379289738,645887.9003492784,5.47613787651062
