scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time,termination_status
scenario_180,43377.417664732806,0.0578183946707116,606332.1187800551,649709.5942631826,4.03850793838501,LOCALLY_SOLVED
scenario_181,42947.28142809511,0.0582525855020418,600366.2390974408,643313.5787781215,5.315873146057129,LOCALLY_SOLVED
scenario_182,43268.76386774635,0.0574371336851985,602025.0002886523,645293.8215935323,5.759088039398193,LOCALLY_SOLVED
scenario_183,43723.41502863187,0.0574823242127135,617884.0758875554,661607.5483985115,5.152103185653687,LOCALLY_SOLVED
scenario_184,43323.43028914925,0.0582731530842238,614931.2878497456,658254.7764120479,4.990335941314697,LOCALLY_SOLVED
scenario_185,43907.0533448765,0.0574297068892026,623684.2309413989,667591.3417159823,6.250449895858765,LOCALLY_SOLVED
scenario_186,42506.60890777373,0.0577836714326247,589669.5013755307,632176.1680669759,7.697441101074219,LOCALLY_SOLVED
scenario_187,43294.82345811818,0.0579816486899354,595471.8840976546,638766.7655374215,5.41438102722168,LOCALLY_SOLVED
scenario_188,43116.38904338276,0.0573921717932605,598269.7584333299,641386.2048688844,6.182194948196411,LOCALLY_SOLVED
scenario_189,42691.33934642575,0.0582642998769994,589877.6621374757,632569.0597482013,5.23034405708313,LOCALLY_SOLVED
scenario_190,43806.66372641041,0.0574318509712743,625405.28700386,669212.0081621214,7.399467945098877,LOCALLY_SOLVED
scenario_191,43280.60476256885,0.0574235998865386,595463.6079318322,638744.2701180009,6.919405221939087,LOCALLY_SOLVED
scenario_192,43107.00351947286,0.0581369690114756,597896.5685839584,641003.6302404003,4.421288967132568,LOCALLY_SOLVED
scenario_193,43894.4023761042,0.0575280786901529,619555.7280665161,663450.187970699,6.647005081176758,LOCALLY_SOLVED
scenario_194,43737.75782181446,0.0574131630838077,623122.7118689464,666860.527103924,6.008052825927734,LOCALLY_SOLVED
scenario_195,43407.126507096174,0.0574499446646365,606453.9354896158,649861.1194466567,6.285600900650024,LOCALLY_SOLVED
scenario_196,42872.76264338647,0.0582818459084023,600290.3033959252,643163.1243211576,4.505676031112671,LOCALLY_SOLVED
scenario_197,43330.79697335967,0.0574230406184852,601049.4053650078,644380.2597614081,5.59650993347168,LOCALLY_SOLVED
scenario_198,43900.41925491505,0.0574855646303659,630544.777893377,674445.2546338567,6.373816013336182,LOCALLY_SOLVED
scenario_199,42964.66205209951,0.0582836391778659,601845.9715217754,644810.6918575141,5.495375871658325,LOCALLY_SOLVED
scenario_200,43568.94135032392,0.0574499183078876,607681.76939182,651250.7681920622,6.995276927947998,LOCALLY_SOLVED
scenario_201,42387.24563735387,0.0572719538265376,581109.2000739414,623496.502983249,8.284539937973022,LOCALLY_SOLVED
scenario_202,43462.28883371825,0.0575407558632947,620937.9711303712,664400.3175048453,5.448364019393921,LOCALLY_SOLVED
scenario_203,44144.33435838949,0.0574398187488812,646369.9344986043,690514.3262968125,6.711550951004028,LOCALLY_SOLVED
scenario_204,43033.88864443323,0.0578764238926313,602230.3705521014,645264.3170729586,4.310000896453857,LOCALLY_SOLVED
scenario_205,44423.07599668177,0.0575580007413707,628068.5544527551,672491.6880074376,7.875126838684082,LOCALLY_SOLVED
