scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time,termination_status
scenario_140,44013.01368144997,0.0574720542323572,625567.5823521684,669580.6535056726,6.209549903869629,LOCALLY_SOLVED
scenario_141,43376.58278829763,0.0574464891991749,605819.2086333602,649195.848868147,6.199077844619751,LOCALLY_SOLVED
scenario_142,39319.51898377504,0.5429435369434682,764339.8614539462,803659.9233812582,9.657877922058104,LOCALLY_SOLVED
scenario_143,43166.93335369432,0.0574166634578976,595728.4956563209,638895.4864266787,5.454655885696411,LOCALLY_SOLVED
scenario_144,43680.39027131103,0.0574130562135889,622489.1945530134,666169.6422373807,6.81616997718811,LOCALLY_SOLVED
scenario_145,43635.759273439886,0.0574566716956143,606213.2693096161,649849.0860397277,5.390138864517212,LOCALLY_SOLVED
scenario_146,43507.91195940047,0.057394085186275,612601.8262519874,656109.795605473,8.286977052688599,LOCALLY_SOLVED
scenario_147,42918.712735024725,0.0569755304824138,588621.7838303036,631540.5535408588,11.104631185531616,LOCALLY_SOLVED
scenario_148,43608.23248758111,0.0574775639897685,622524.79452754,666133.084492685,5.763751983642578,LOCALLY_SOLVED
scenario_149,44468.26405678527,0.0574957614299555,647305.3210990931,691773.6426516398,6.152299165725708,LOCALLY_SOLVED
scenario_150,42857.94099379733,0.0582808031813377,597245.1348341823,640103.1341087829,5.337821960449219,LOCALLY_SOLVED
scenario_151,43431.22621312609,0.0583113158265748,609441.930820111,652873.2153445529,2.948615789413452,LOCALLY_SOLVED
scenario_152,43535.20835284665,0.0574414492270948,617945.0811929145,661480.3469872104,5.002507925033569,LOCALLY_SOLVED
scenario_153,42979.44134846437,0.0582792940698116,594831.1580249011,637810.6576526595,4.401681900024414,LOCALLY_SOLVED
scenario_154,43672.794304912575,0.057515027576293,622593.9309861785,666266.7828061186,5.705591201782227,LOCALLY_SOLVED
scenario_155,43571.93868963026,0.057471083189718,617265.215152484,660837.2113131975,5.7183098793029785,LOCALLY_SOLVED
scenario_156,43071.10142736687,0.0582413104990552,602844.3170811848,645915.4767498622,3.9806299209594727,LOCALLY_SOLVED
scenario_157,43498.74858195844,0.0574590996167787,613449.1766385372,656947.9826795952,6.735559940338135,LOCALLY_SOLVED
scenario_158,43348.31490303755,0.0582082737563154,612703.682416185,656052.0555274964,3.173856019973755,LOCALLY_SOLVED
scenario_159,43176.16976196036,0.058299416034865,597301.1561740403,640477.3842354167,5.068582057952881,LOCALLY_SOLVED
scenario_160,43963.16810451867,0.0575002483516282,633486.4180986267,677449.6437033936,7.743145942687988,LOCALLY_SOLVED
