scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time
scenario_301,43071.98924841093,0.3796021755109177,771652.3818691045,814724.7507196909,2.130168914794922,11.23897910118103,0.0,13.580409049987791
scenario_302,43038.90828226839,0.3770289050860639,745261.2164679938,788300.5017791672,2.149910926818848,10.905543088912964,0.0,13.266077995300291
scenario_303,43204.36690145521,0.3769266144122431,740662.7694332802,783867.5132613499,2.1169469356536865,11.066002130508425,0.0,13.39159607887268
scenario_304,43142.317030648206,0.4009277904660054,758037.6856525748,801180.4036110134,2.302424907684326,11.649718046188354,0.0,14.181972980499268
scenario_305,44667.05449059978,0.3064866009476663,904021.7179619541,948689.0789391547,2.224993944168091,9.622083187103271,0.0,12.067090034484863
scenario_306,43108.19777161909,0.4004408018752476,757243.9191232125,800352.5173356334,2.1152150630950928,11.602386951446531,0.0,13.927452087402344
scenario_307,43107.20944356253,0.3795444922968123,791546.5178093994,834654.1067974542,2.1501989364624023,10.89098596572876,0.0,13.25193691253662
scenario_308,43238.57522091839,0.4353598623674993,724586.2150167881,767825.2255975689,2.2231221199035645,11.862588882446287,0.0,14.306130170822144
scenario_309,44720.34046227109,0.3393460034639437,868711.6677673755,913432.34757565,2.157370090484619,9.745998859405518,0.0,12.114552974700928
scenario_310,43375.39758785132,0.4379755581557641,726921.6074870343,770297.4430504438,2.841836929321289,11.276097059249878,0.0,14.330095052719116
scenario_311,42998.863193601646,0.3800247469600744,772700.6950494122,815699.9382677608,2.1627368927001958,11.269493103027344,0.0,13.65808606147766
scenario_312,43204.44078384995,0.3795014370516116,780421.5722798608,823626.3925651478,2.144279956817627,11.210031986236572,0.0,13.56516408920288
scenario_313,44635.004894074686,0.3178689915887539,924837.4153180483,969472.7380811146,2.592674016952514,9.426167011260986,0.0,12.22830605506897
scenario_314,42891.581229504,0.3770186150377853,766182.2377036882,809074.1959518072,2.1566319465637207,11.151485919952393,0.0,13.519117832183838
scenario_315,43211.94966520062,0.4378718107938109,739890.4459561547,783102.8334931661,2.124499082565308,13.196676969528198,0.0,15.600192070007324
scenario_316,39986.98871583284,0.335411604195825,1826769.8418211124,1866757.1659485495,2.170135021209717,12.032331943511965,0.0,14.413058042526243
scenario_317,43317.31840121972,0.4033308484528036,763633.2207644603,806950.9424965285,2.6763150691986084,9.923762083053589,0.0,12.809207201004028
scenario_318,43151.48484752329,0.4008302140752541,747399.1567050295,790551.0423827668,2.553440809249878,14.29305100440979,0.0,17.124765872955322
scenario_319,43214.60467905056,0.4353960854217891,724782.5864497675,767997.6265249035,2.09937596321106,11.552438020706177,0.0,13.863615036010742
scenario_320,43199.11790441399,0.3986401179106575,766029.1206811043,809228.6372256362,2.148106098175049,10.861912965774536,0.0,13.232860088348389
scenario_321,43205.24473234827,0.3770470902928575,762777.5465814202,805983.1683608588,2.251452922821045,13.646018981933594,0.0,16.112534999847412
scenario_322,44705.37716002539,0.3391629083778723,905094.8304867968,949800.5468097306,2.852380990982056,13.529191970825195,0.0,16.790626049041748
scenario_323,44608.81534660253,0.3233269886272172,880396.0711265669,925005.209800158,2.8071539402008057,11.239283084869385,0.0,14.258053064346312
scenario_324,43089.06075502776,0.3765321168241742,771821.3106372779,814910.7479244225,2.3516950607299805,11.219293117523192,0.0,13.781301021575928
scenario_325,43087.79106788456,0.3789243474317531,766065.679652928,809153.84964516,2.149311065673828,12.465583086013794,0.0,14.826539993286133
scenario_326,43126.63638391841,0.3786334800307981,771898.0617121612,815025.0767295596,2.1465539932250977,12.157449960708618,0.0,14.514193058013916
scenario_327,40181.99317675682,0.3305243138171124,1796410.428313083,1836592.7520141536,2.137242078781128,11.458826065063477,0.0,13.874037027359009
scenario_328,43132.8235385262,0.4358266569168311,738329.1910467,781462.4504118831,2.144935846328736,11.821964025497437,0.0,14.239171981811523
scenario_329,44698.72557779324,0.3290173849430066,898450.1185431698,943149.173138348,2.147099018096924,11.12484097480774,0.0,13.482221126556396
scenario_330,43106.78060919511,0.378648041285424,781909.775341425,825016.9345986614,2.155348062515259,11.958083868026732,0.0,14.324842929840088
scenario_331,43134.048625857264,0.3769829616684876,759490.1200949125,802624.5457037314,2.142991065979004,11.165879964828491,0.0,13.519824028015137
scenario_332,43046.429540508034,0.4033392638541166,766070.1293236406,809116.9622034124,2.140190839767456,10.60286808013916,0.0,12.955793857574465
scenario_333,40226.90287793143,0.3228298131450342,1814961.0378826836,1855188.263590428,2.158432006835937,11.223982095718384,0.0,13.59431791305542
scenario_334,43173.520144814654,0.3800439208813996,760901.5364003299,804075.4365890655,2.1193621158599854,10.01141095161438,0.0,12.340121030807495
scenario_335,44677.53636704525,0.3384528653533446,891180.6094862702,935858.4843061808,2.8493459224700928,11.232024908065796,0.0,14.29319190979004
scenario_336,44762.240220070176,0.3392730554880963,859882.5518467692,904645.1313398948,2.1068150997161865,9.625602960586548,0.0,11.943719148635864
scenario_337,44720.60437606488,0.3283231031381696,920208.4245459342,964929.3572451022,2.121126890182495,9.78746509552002,0.0,12.11815309524536
scenario_338,44608.81494811645,0.3078487927680085,866351.4218252158,910960.544622125,2.148988962173462,9.38479995727539,0.0,11.745423078536987
scenario_339,42973.52836887791,0.4039426845528399,755045.0019979781,798018.9343095405,2.843981981277466,10.790175199508669,0.0,13.842674970626833
scenario_340,44692.04639180301,0.3180625028970967,939863.2176326468,984555.5820869528,2.1434171199798584,9.238316059112549,0.0,11.59241795539856
scenario_341,42942.524518379454,0.401024881741685,745625.7737467845,788568.6992900458,2.1548399925231934,12.765050172805786,0.0,15.131118059158323
scenario_342,44719.37172668429,0.3392479348810457,906965.997015764,951685.7079903831,2.1564180850982666,9.65148401260376,0.0,12.019041061401367
scenario_343,39834.80243298433,0.318342192055859,1744393.7420531122,1784228.8628282887,2.1575191020965576,10.99050998687744,0.0,13.359304904937744
scenario_344,42998.363065671205,0.3770003719883735,761015.3292332405,804014.0692992837,2.1479408740997314,11.014846086502075,0.0,13.373445987701416
scenario_345,43269.7073150427,0.37949355442398,758995.5220936956,802265.6089022927,2.1359920501708984,11.174147844314575,0.0,13.521397829055786
scenario_346,44712.05783528609,0.3100482947083519,927529.5715106712,972241.939394252,2.1165361404418945,9.132434844970703,0.0,11.45957612991333
scenario_347,43310.9154270312,0.40393881260333,760536.6211235155,803847.9404893593,2.819293975830078,13.655532121658323,0.0,16.730612993240356
scenario_348,43144.08124522555,0.3785867369637803,773479.5260553679,816623.9858873304,2.1465659141540527,11.892210006713867,0.0,14.249175786972046
scenario_349,42959.464207194535,0.3770408287595653,753469.7763704881,796429.6176185114,2.72539496421814,14.636482954025269,0.0,17.640540838241577
scenario_350,43171.97646244169,0.4353769754509025,730000.1169322472,773172.5287716644,2.1324028968811035,12.49295711517334,0.0,14.856420993804932
