scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time
scenario_331,42577.03906062141,0.1477085307561714,837942.7705990092,880519.9573681614,2.231787919998169,13.667021036148071,0.0,16.123250007629395
scenario_332,42832.07806603235,0.4081384871984235,658313.7043238734,701146.1905283929,2.328256130218506,13.177449941635132,0.0,15.811020135879517
scenario_333,42282.62311074186,0.1485941518647676,772824.2486902538,815107.0203951475,2.860125064849853,14.952041864395142,0.0,18.12135505676269
scenario_334,42619.211732039184,0.1474862018242194,850352.0620081201,892971.4212263612,2.822443962097168,15.440798997879028,0.0,18.56005597114563
scenario_335,42701.06766458629,0.1478777052932187,857852.0146228528,900553.2301651443,2.226728916168213,12.022536993026732,0.0,14.47019386291504
scenario_336,42751.0700680958,0.150513617592662,870181.2584270806,912932.479008794,2.1615707874298096,14.651127099990845,0.0,17.090742826461792
scenario_337,42833.60603898685,0.1504152675404536,899938.2125162644,942771.9689705188,2.615396022796631,15.47635793685913,0.0,18.37078285217285
scenario_338,42613.13511084887,0.1479939682115462,809774.4560302182,852387.7391350352,2.8334457874298096,13.741921186447144,0.0,16.786232948303223
scenario_339,42426.40848955687,0.1479277645778103,811981.8340158564,854408.3904331778,2.358985185623169,13.941486835479736,0.0,16.595821142196655
scenario_340,42820.13959767327,0.1507613481441087,903168.5124037894,945988.8027628108,2.165565013885498,15.517110109329224,0.0,17.89461612701416
scenario_341,42367.29683561396,0.1486066302233105,777973.2030851927,820340.6485274369,2.1488327980041504,11.182648181915283,0.0,13.542220830917358
scenario_342,42841.3763272299,0.150350002306343,886490.4247799173,929331.9514571496,2.136988878250122,13.38481903076172,0.0,15.800524950027466
scenario_343,42156.15844574957,0.1490864921283223,766470.6077353569,808626.9152675986,2.1639230251312256,10.389034032821655,0.0,12.765049934387209
scenario_344,42510.59320232826,0.1479189081395794,824717.5378132409,867228.2789344772,2.172826766967773,13.094138145446776,0.0,15.48055386543274
scenario_345,42642.96753545159,0.1478665192590058,823307.2030146895,865950.3184166603,2.1516261100769043,11.489134073257446,0.0,13.851937055587769
scenario_346,42834.86329717237,0.1504657882585436,912385.3453046178,955220.3590675785,2.194195032119751,12.337412118911743,0.0,14.76468014717102
scenario_347,42542.80574874383,0.1473324963057024,835206.5505534469,877749.503634687,2.984281063079834,15.764580965042114,0.0,19.03529119491577
scenario_348,42661.61455259548,0.1505145764848521,832242.8177099528,874904.5827771248,2.919272899627685,17.79161310195923,0.0,21.016382932662964
scenario_349,42516.896016300045,0.1474958421086262,832593.5396595448,875110.583171687,2.106295108795166,12.637180089950562,0.0,14.953530073165894
scenario_350,42310.76937246746,0.1483908035115414,758988.2769924923,801299.1947557633,2.8316469192504883,15.894714117050173,0.0,19.00442600250244
