scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time,second_stage_runtime,ipopt_obj,ipopt_time,termination_status
scenario_301,44529.138572166805,0.4025883870738985,566472.3061432695,611001.8473038235,2.350935935974121,11.94741702079773,0.0,14.529019832611084,46.12407207489014,295800.14967159217,4.114524841308594,LOCALLY_SOLVED
scenario_302,44487.899133621526,0.3877897132882092,560588.7351354798,605077.0220588146,2.3707549571990967,11.50904417037964,0.0,14.1195809841156,42.982008934021,291749.7270003289,3.575337171554565,LOCALLY_SOLVED
scenario_303,44456.77582190782,0.4017946369116711,579024.5850173322,623481.762633877,2.3704490661621094,10.862349033355711,0.0,13.474517107009888,45.97678303718567,293174.0404561381,2.961333036422729,LOCALLY_SOLVED
scenario_304,44443.828356033126,0.4210748579245617,576442.7098128448,620886.9592437358,2.3582088947296143,11.175379037857056,0.0,13.777627944946287,45.07417702674866,288373.63709717203,3.3145110607147217,LOCALLY_SOLVED
scenario_305,44834.94189449806,0.4092771742202343,568078.617701933,612913.9688736052,2.365152835845948,11.927515029907228,0.0,14.52406096458435,44.8150749206543,305469.9700445188,4.055728912353516,LOCALLY_SOLVED
scenario_306,44327.50329251763,0.3956243970953832,595387.9105891837,639715.8095060984,2.3494038581848145,11.336979150772097,0.0,13.92434787750244,44.37673211097717,287995.2773190969,3.483649969100952,LOCALLY_SOLVED
scenario_307,44533.7003746665,0.4116186856499714,575130.3482906757,619664.4602840279,2.357553005218506,12.823811054229736,0.0,15.411216974258425,42.18760800361633,295639.0197704172,4.983747959136963,LOCALLY_SOLVED
scenario_308,44241.14109947295,0.3924487291711104,584984.875899894,629226.4094480962,2.351487159729004,11.155652046203612,0.0,13.738415002822876,46.40476393699646,285869.0355759145,3.2926650047302246,LOCALLY_SOLVED
scenario_309,44755.53205994312,0.4191085110424297,551626.5142083472,596382.4653768013,2.366115093231201,11.809484004974363,0.0,14.415163040161133,42.80079984664917,301801.03016169526,3.9337680339813232,LOCALLY_SOLVED
scenario_310,44343.03565882862,0.4205410111807013,573154.7579511373,617498.2141509771,2.3490679264068604,11.78060817718506,0.0,14.353466987609863,44.92784905433655,289207.4430487579,3.9197609424591056,LOCALLY_SOLVED
scenario_311,44441.07902375024,0.395259877910836,579772.347035933,624213.8213195612,2.367383003234864,13.124849796295166,0.0,15.722759008407593,44.67106008529663,291390.2482598113,5.22260308265686,LOCALLY_SOLVED
scenario_312,44610.82037947892,0.4009327428013476,566220.0851453734,610831.3064575951,2.353548049926758,11.230494022369385,0.0,13.81399703025818,48.26729106903076,293304.22683522146,3.352289915084839,LOCALLY_SOLVED
scenario_313,44845.59983332206,0.4000896120340058,569621.3137068572,614467.3136297913,2.3744709491729736,10.844592094421388,0.0,13.450450897216797,42.28958988189697,305369.5084929592,2.913996934890747,LOCALLY_SOLVED
scenario_314,44383.26175389754,0.4207355826247558,575638.9488783408,620022.6313678209,2.3348989486694336,12.528141975402832,0.0,15.093320846557615,41.87023615837097,287938.5223885868,4.655729055404663,LOCALLY_SOLVED
scenario_315,44279.49893047339,0.3981737345267377,586863.3484067507,631143.2455109586,2.3726229667663574,11.104011058807371,0.0,13.72171401977539,44.54662704467773,283109.3418420431,3.229304790496826,LOCALLY_SOLVED
scenario_316,39177.16740572757,1.0221364281751129,1425413.825100592,1464592.0146427476,2.3708860874176025,10.223635911941528,0.0,12.833847045898438,61.13778305053711,65698.49235158668,2.3174591064453125,LOCALLY_SOLVED
scenario_317,44375.68229770551,0.6957484528577668,590068.6812354688,634445.0592816272,2.3637969493865967,10.82003092765808,0.0,13.413866996765137,45.5335009098053,287549.96274258016,2.9531970024108887,LOCALLY_SOLVED
scenario_318,44349.9671509337,0.5456015156886133,569899.444912091,614249.9576645404,2.37113094329834,10.869834899902344,0.0,13.471900939941406,49.019129037857056,289051.8278000822,2.94583511352539,LOCALLY_SOLVED
scenario_319,44174.9634278864,0.3977048314114529,579876.2126286593,624051.5737613771,2.373027801513672,11.63574504852295,0.0,14.23879599571228,43.96260213851929,281528.54278364114,3.723560094833374,LOCALLY_SOLVED
scenario_320,44301.81359953685,0.4202515979668522,599016.2658593645,643318.4997104993,2.3478689193725586,11.597127914428713,0.0,14.184551000595093,41.8499960899353,286662.25102212623,3.734646797180176,LOCALLY_SOLVED
scenario_321,44658.22336347978,0.4166039919667805,555685.9220498718,600344.5620173435,2.345160961151123,10.894623041152954,0.0,13.467784881591797,44.10336899757385,304013.24370421376,3.0863049030303955,LOCALLY_SOLVED
scenario_322,44857.696908547165,0.3897086812457526,570317.7968922369,615175.8835094654,2.377884864807129,11.19815707206726,0.0,13.807325839996338,47.55448293685913,304629.1100791637,3.343553066253662,LOCALLY_SOLVED
scenario_323,44651.65768577957,0.3342297100163009,559421.889957582,604073.8818730715,2.3418068885803223,12.075850009918211,0.0,14.647552013397217,45.49281311035156,299480.8936726861,4.233518123626709,LOCALLY_SOLVED
scenario_324,44498.16985926617,0.3822481191825784,574775.9564501639,619274.5085575492,2.3609650135040283,11.030264139175417,0.0,13.6205952167511,44.308022022247314,296834.3876045091,3.1699440479278564,LOCALLY_SOLVED
scenario_325,44442.779956333805,0.4061231401564957,590408.4610664486,634851.6471459225,2.3695499897003174,12.314460039138794,0.0,14.913023948669434,42.09559392929077,289534.9098756168,4.468998908996582,LOCALLY_SOLVED
