scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time,second_stage_runtime,ipopt_obj,ipopt_time,termination_status
scenario_601,45934.01135813025,0.4003057870684958,549434.4062380758,595368.8179019932,2.160972118377685,11.177366971969604,0.0,13.549746990203856,43.27352595329285,357733.9264298219,3.8231589794158936,LOCALLY_SOLVED
scenario_602,44898.82043493953,0.3523976502113433,545113.7656472181,590012.9384798078,2.132478952407837,10.125115156173706,0.0,12.468451976776125,38.921226978302,308637.4026201406,2.78790020942688,LOCALLY_SOLVED
scenario_603,43673.91747408043,0.3650854615159788,639191.295012477,682865.577572019,2.152008056640625,11.023128032684326,0.0,13.395200967788696,38.26378512382507,269791.4267131839,3.6761398315429688,LOCALLY_SOLVED
scenario_604,45001.48144689019,0.3883453966552707,553554.9122195721,598556.782011859,2.155027151107788,12.065354824066162,0.0,14.44594407081604,43.83015418052673,305211.0999411334,4.7785961627960205,LOCALLY_SOLVED
scenario_605,44732.92566070382,0.5065666854739012,589273.9016407601,634007.3338681494,2.1531429290771484,11.226507902145386,0.0,13.590499877929688,43.40384602546692,305045.75105439045,3.91379189491272,LOCALLY_SOLVED
scenario_606,43251.10929287868,0.3334161529332087,613137.8982823037,656389.3409913353,2.1516599655151367,10.750622034072876,0.0,13.128061056137083,42.257219076156616,253191.8594967269,3.408396005630493,LOCALLY_SOLVED
scenario_607,45417.74041562731,0.3620545317358322,538113.4219766934,583531.5244468525,2.1590240001678467,10.47081708908081,0.0,12.854790925979614,38.93232798576355,333464.0678596196,3.134495973587036,LOCALLY_SOLVED
scenario_608,43952.99030766536,0.6862524787672631,636112.6719308613,680066.3484910055,2.168209791183472,10.1058030128479,0.0,12.485481977462769,41.98716902732849,280118.1079569588,2.7730250358581543,LOCALLY_SOLVED
scenario_609,45164.77347329165,0.3995879346957973,565973.7385101416,611138.911571368,2.162209987640381,11.291252136230469,0.0,13.680169105529783,38.24738001823425,315321.76185387635,3.9288151264190674,LOCALLY_SOLVED
scenario_610,44939.22333141135,0.3945420629061926,603307.5995806033,648247.2174540776,2.1577072143554688,11.108828783035278,0.0,13.477585077285768,41.41262912750244,311455.6232670995,3.7717809677124015,LOCALLY_SOLVED
