scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time,second_stage_runtime,ipopt_obj,ipopt_time,termination_status
scenario_301,45751.42425432184,0.4169294195437963,1388878.6204693434,1434630.4616530847,2.1153390407562256,8.792276859283447,0.0,11.117065906524658,42.49797701835632,270319.5928623204,1.672842025756836,LOCALLY_SOLVED
scenario_302,45681.29586095199,0.4111764903655351,1407531.3902350492,1453213.0972724915,2.822240114212036,11.435281038284302,0.0,14.48113203048706,42.91415596008301,268143.8904405803,1.983311891555786,LOCALLY_SOLVED
scenario_303,45799.02469061939,0.62927765049489,1413515.0836501245,1459314.7376183944,2.11263394355774,8.98405385017395,0.0,11.30765700340271,43.3903489112854,268399.5149803973,1.6629209518432615,LOCALLY_SOLVED
scenario_304,45698.08489598688,0.4353732817271426,1390320.163295465,1436018.6835647337,2.147333860397339,9.051144123077393,0.0,11.407805919647217,42.4947988986969,269383.67733424314,1.8298499584198,LOCALLY_SOLVED
scenario_305,46180.991773319976,0.4133165476216001,1631654.895294372,1677836.3003842395,2.151039123535156,10.208200931549072,0.0,12.637969970703123,42.47242403030396,276050.9517454515,1.9762120246887207,LOCALLY_SOLVED
scenario_306,45676.70677614809,0.6859292605401758,1275849.177107999,1321526.569813408,2.150593042373657,8.954633951187134,0.0,11.327847957611084,42.4584801197052,270339.76335751225,1.6587069034576416,LOCALLY_SOLVED
scenario_307,45788.97882871526,0.4226346282093666,1381412.251333401,1427201.6527967446,2.158435821533203,10.602916955947876,0.0,12.97340488433838,44.02959084510803,272722.06101396977,2.256324052810669,LOCALLY_SOLVED
scenario_308,45396.78248518683,0.4406302510897,1342274.2044674132,1387671.4275828511,2.145155906677246,9.36292314529419,0.0,11.718862056732178,42.34255719184876,263987.0246991772,2.0752079486846924,LOCALLY_SOLVED
scenario_309,46123.64002257525,0.4367517333246469,1465723.2932683732,1511847.3700426817,2.1327929496765137,9.013581037521362,0.0,11.371663093566896,42.0605731010437,272672.4040532568,1.6857550144195557,LOCALLY_SOLVED
scenario_310,45535.3593858651,0.4074009291007652,1351560.8030166137,1397096.5698034076,2.1508638858795166,9.00814700126648,0.0,11.369938850402832,42.5408890247345,269112.35269356443,1.7389929294586182,LOCALLY_SOLVED
scenario_311,45732.5788385131,0.6810479695541193,1363236.7280765912,1408969.987963074,2.149220943450928,9.084229946136476,0.0,11.444790840148926,46.00453209877014,269569.941028282,1.7529628276824951,LOCALLY_SOLVED
scenario_312,45936.9403473673,0.4464370402636158,1428926.795592148,1474864.1823765556,2.2567250728607178,9.056380987167358,0.0,11.524473905563354,45.89492201805115,270191.3026783616,1.7494289875030518,LOCALLY_SOLVED
scenario_313,46187.48585096762,0.4453633836154562,1685280.560347367,1731468.4915617183,2.492431163787842,10.599620819091797,0.0,13.339505195617676,43.23608207702637,275449.7739380032,2.1352479457855225,LOCALLY_SOLVED
scenario_314,45566.0725823415,0.4105571467023303,1399109.3357882155,1444675.818927704,2.360074043273926,11.890779972076416,0.0,14.547435998916626,42.4005970954895,268451.7531027517,2.3173251152038574,LOCALLY_SOLVED
scenario_315,45400.01790502121,0.4314609428004765,1332334.1378842618,1377734.5872502257,2.4686801433563232,9.43831181526184,0.0,12.11725401878357,44.21717095375061,266596.40132442664,1.743053913116455,LOCALLY_SOLVED
scenario_316,44935.76692878377,0.4420199565093469,1341214.328289404,1386150.5372381443,2.146712064743042,9.16632604598999,0.0,11.524298906326294,41.98378396034241,261845.51453621028,1.8869528770446775,LOCALLY_SOLVED
scenario_317,45565.540102775136,0.446996776098818,1347306.366380501,1392872.3534800522,2.1983530521392822,9.195544958114624,0.0,11.603287935256958,42.61994695663452,265185.52087596944,1.9979119300842283,LOCALLY_SOLVED
scenario_318,45506.32154880717,0.4098610871516941,1366073.593868707,1411580.3252786014,2.1427128314971924,9.146027088165283,0.0,11.498878002166748,41.91461896896362,267687.3101700843,1.8333418369293213,LOCALLY_SOLVED
