scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time,second_stage_runtime,ipopt_obj,ipopt_time,termination_status
scenario_601,47498.40998841708,0.427115768288939,1801082.6531184227,1848581.490222608,2.116323947906494,9.163450002670288,0.0,11.50595498085022,38.55896282196045,293841.60517067206,1.8041999340057373,LOCALLY_SOLVED
scenario_602,46322.67070844446,0.658384467774668,1616774.3125439575,1663097.6416368696,2.1388680934906006,9.401296854019163,0.0,11.767977952957152,37.879976987838745,278521.22352885123,1.97482705116272,LOCALLY_SOLVED
scenario_603,44283.1715445173,0.4224230650369243,1228819.6528145354,1273103.2467821178,2.132430076599121,9.200891971588137,0.0,11.544692039489746,37.17029595375061,253591.2801846537,1.8209378719329836,LOCALLY_SOLVED
scenario_604,46244.30300968943,0.4197098555950294,1801831.567666581,1848076.290386126,2.1388659477233887,9.207270860671995,0.0,11.558034896850586,38.28487992286682,279004.3287079756,1.780555009841919,LOCALLY_SOLVED
scenario_605,46069.42765777126,0.4045079272046166,1429224.832386548,1475294.6645522465,2.134452104568481,9.404545068740845,0.0,11.764767169952393,36.78913593292236,274986.0714426149,2.007205009460449,LOCALLY_SOLVED
scenario_606,44062.50509911336,0.6784030291454483,1166342.5632065446,1210405.7467086872,2.1394119262695312,9.30244493484497,0.0,11.668259859085085,38.03910398483277,249690.74921764497,1.855928897857666,LOCALLY_SOLVED
scenario_607,46613.722244710414,0.442014086908746,2153530.0440852502,2200144.2083440474,2.1266520023345947,9.48508620262146,0.0,11.838657140731812,38.66184115409851,282389.9170862462,2.03341007232666,LOCALLY_SOLVED
scenario_608,44968.48006412123,0.4403951838756077,1419346.014013094,1464314.934472399,2.139503002166748,9.865789890289308,0.0,12.216915845870972,38.18132710456848,261257.6599599328,2.434255123138428,LOCALLY_SOLVED
scenario_609,46273.621573217184,0.420893770254482,1777839.077147429,1824113.1196144167,2.137657880783081,9.20290994644165,0.0,11.551045894622805,38.26846408843994,279112.9255653024,1.784132957458496,LOCALLY_SOLVED
scenario_610,46253.76285134335,0.4073248108345593,1461629.02534232,1507883.195518474,2.134305953979492,9.24558401107788,0.0,11.590884923934937,38.71771693229675,279853.44153896265,1.8229868412017824,LOCALLY_SOLVED
scenario_611,46342.63451532948,0.4178513088636748,1534527.7896157394,1580870.8419823777,2.1358418464660645,9.170669078826904,0.0,11.531385898590088,37.36540102958679,276016.4721968218,1.7950668334960938,LOCALLY_SOLVED
scenario_612,46403.630609690015,0.4383583949147763,1553814.5144111493,1600218.5833792342,2.13278603553772,9.24226999282837,0.0,11.586111068725586,38.13382697105408,284453.54887928185,1.8282690048217771,LOCALLY_SOLVED
scenario_613,45045.26991189046,0.4417558682829743,1287129.7693683314,1332175.48103609,2.1095659732818604,9.65132999420166,0.0,11.982487916946411,38.154321908950806,255798.82842157752,2.358520984649658,LOCALLY_SOLVED
scenario_614,44580.5204621054,0.3907003150487401,1376513.2448364624,1421094.1559988828,2.1324679851531982,9.229186058044434,0.0,11.57256817817688,37.05134606361389,257400.01660680864,1.8169469833374023,LOCALLY_SOLVED
scenario_615,44857.42914300714,0.4420693395652814,1414407.8079185628,1459265.6791309095,2.0960731506347656,9.279778003692629,0.0,11.585240125656128,37.48836016654968,257310.94748089675,2.030043840408325,LOCALLY_SOLVED
scenario_616,46409.03888113157,0.4159640251833599,1646684.7213639845,1693094.176209141,2.137923002243042,9.647228002548218,0.0,11.996261835098268,37.96433210372925,282156.34086461767,2.2634520530700684,LOCALLY_SOLVED
scenario_617,46176.52934222084,0.4513456316355458,1810798.5873156115,1856975.568003464,2.132586002349853,9.595257997512816,0.0,11.938438892364502,38.8010368347168,283343.53267189173,2.244649171829224,LOCALLY_SOLVED
scenario_618,42936.269562237765,0.3962928768342751,1284709.133898269,1327645.7997533835,2.13222599029541,9.135822057724,0.0,11.47889804840088,37.63356900215149,241467.47508701016,1.7308859825134275,LOCALLY_SOLVED
scenario_619,48219.70104351701,0.6871415098257128,2006924.326336626,2055144.7145216528,2.1386492252349854,9.240192890167236,0.0,11.604592084884644,39.2670419216156,301721.46553129936,1.8035521507263184,LOCALLY_SOLVED
scenario_620,45296.21291942948,0.5401842695388479,1469410.22724346,1514706.980347159,2.132534980773926,9.459024906158447,0.0,11.818094968795776,38.79460096359253,259662.90301323103,2.0624330043792725,LOCALLY_SOLVED
scenario_621,45823.39120209032,0.4191475731839068,1593538.7987417274,1639362.6090913909,2.125159978866577,9.155210971832275,0.0,11.491343021392822,38.88402700424194,273545.9634134986,1.784850835800171,LOCALLY_SOLVED
scenario_622,43537.33502369315,0.3958194805034298,1267220.69057965,1310758.4214228236,2.1284749507904053,9.82946801185608,0.0,12.169137954711914,38.28496193885803,253498.33151967052,2.4438397884368896,LOCALLY_SOLVED
scenario_623,44125.61552109351,0.4072450146516833,1327550.8335266726,1371676.8562927807,2.1310348510742188,9.425240993499756,0.0,11.77965497970581,35.58317494392395,254517.67469435843,2.0562551021575928,LOCALLY_SOLVED
scenario_624,46924.88218434807,0.4324763268608494,1709642.6876481827,1756568.0023088576,2.1382410526275635,9.493705987930298,0.0,11.856966972351074,36.54940915107727,289319.8990264044,2.055073976516724,LOCALLY_SOLVED
scenario_625,46338.02861296162,0.6700448086244852,1645737.382990518,1692076.0816482883,2.1197540760040283,9.187243938446043,0.0,11.532915115356444,36.85731101036072,276507.141433052,1.7747759819030762,LOCALLY_SOLVED
scenario_626,44606.96340740528,0.7237160592663434,1114046.1134987157,1158653.80062218,2.1453161239624023,9.652284860610962,0.0,12.02314305305481,38.711379051208496,256507.7905864904,2.237204074859619,LOCALLY_SOLVED
scenario_627,45146.71687692488,0.5958644115399117,1277376.427449758,1322523.7401910943,2.132611989974976,9.356733083724976,0.0,11.700493097305298,36.96120882034302,265838.2737127081,1.9674439430236816,LOCALLY_SOLVED
scenario_628,45943.81875705288,0.6764604140883123,1200747.655737548,1246692.1509550149,2.133988857269287,9.248512983322144,0.0,11.607990980148315,36.35281920433045,269653.0638345103,1.81634783744812,LOCALLY_SOLVED
