scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time,second_stage_runtime,ipopt_obj,ipopt_time,termination_status
scenario_301,31123.85686829988,0.9149088680989664,3050197.754679937,3081322.526457105,2.157136917114258,21.3710880279541,0.0,23.739314079284668,65.02813601493835,37336.25671039733,14.028929948806764,LOCALLY_SOLVED
scenario_302,44816.13882272293,0.3975020816509054,326743.7879156092,371560.3242404138,2.157831907272339,24.426780939102173,0.0,26.795193910598755,37.15390586853027,508781.703107691,17.12091302871704,NUMERICAL_ERROR
scenario_303,38309.1140682193,1.022748545955498,866095.2434526847,904405.38026945,2.1440670490264893,15.687983989715576,0.0,18.04228401184082,60.7088680267334,69548.19903879934,8.398461103439331,LOCALLY_SOLVED
scenario_304,30458.793968864804,0.912784909179676,3853213.328551562,3883673.035305336,2.152163028717041,13.64185905456543,0.0,16.003988027572632,64.08252000808716,34582.402163137194,6.352393865585327,LOCALLY_SOLVED
scenario_305,27770.209735490484,0.207191124140628,6537937.404729693,6565707.821656308,2.181237936019897,10.374812126159668,0.0,12.765187978744509,36.96588706970215,27837.576133639253,2.750162124633789,LOCALLY_SOLVED
scenario_306,37649.653713125095,0.0779925959539703,503364.2083814537,541013.9400871748,2.8441128730773926,17.80076003074646,0.0,20.85478782653809,32.23865485191345,53187.26978987847,8.68820309638977,LOCALLY_SOLVED
scenario_307,27575.665032812714,0.8625602816722909,6287261.575639172,6314838.103232265,2.1627631187438965,10.661728858947754,0.0,13.035799026489258,43.98522114753723,27573.994209210286,3.3189620971679688,LOCALLY_SOLVED
scenario_308,44481.28923395544,0.0007149893251175,381215.3991474594,425696.6890964042,2.8447020053863525,18.09488201141357,0.0,21.14909791946411,33.3252968788147,152116.3976154628,10.324948072433472,NUMERICAL_ERROR
scenario_309,45189.72755540769,0.9282317718435962,403042.9230579643,448233.57884514384,2.1369450092315674,17.527826070785522,0.0,19.87593412399292,47.291494846344,137800027.67277616,10.27043604850769,NUMERICAL_ERROR
scenario_310,27663.22620922905,0.3848736863550891,9077364.544391751,9105028.155474668,2.151009082794189,20.488379955291748,0.0,22.849406957626343,58.6081759929657,28071.491475134422,13.24626898765564,LOCALLY_SOLVED
scenario_311,36590.22645263766,0.3514329015392276,685317.9199774096,721908.4978629488,2.127249956130981,16.12292504310608,0.0,18.473506927490234,57.68881893157959,58662.45212063341,8.836461067199707,LOCALLY_SOLVED
scenario_312,28194.23548683308,0.1183256493973838,13593704.408535702,13621898.762348184,2.146746873855591,18.09495115280152,0.0,20.46394395828247,46.54644107818604,28864.846585553496,10.809576988220217,LOCALLY_SOLVED
scenario_313,44891.67250331072,0.4764375184629902,392535.05238058965,437427.2013214188,2.1291871070861816,32.005115032196045,0.0,34.34468102455139,31.97305202484131,142950.13037728783,24.74882483482361,LOCALLY_SOLVED
scenario_314,44835.1425921124,0.1804653907115845,382247.1726998784,427082.49575738143,2.120821952819824,46.17097306251526,0.0,48.50280690193176,36.08620500564575,1335340.3580258128,38.9352650642395,NUMERICAL_ERROR
scenario_315,36649.982514682095,1.1956558315284394,889471.4706877288,926122.6488582424,2.15574598312378,22.78566694259644,0.0,25.15225291252136,61.75946092605591,53217.81774012777,15.46326780319214,LOCALLY_SOLVED
scenario_316,40523.659947307024,0.3725268081154785,583362.4471573387,623886.4796314539,2.15264105796814,28.2366909980774,0.0,30.59935593605041,55.78449416160584,616296.4635242227,20.95892906188965,NUMERICAL_ERROR
scenario_317,28419.169802664044,1.1567826420104743,5166719.874196874,5195140.20078218,2.1176140308380127,15.8032648563385,0.0,18.199678897857662,58.386022090911865,29699.83661702966,8.507069110870361,LOCALLY_SOLVED
scenario_318,27830.64779447717,0.7096266045764288,6504155.514399931,6531986.871821012,2.552361011505127,12.2429039478302,0.0,15.005867958068848,56.17776083946228,28664.67090879653,4.408548831939697,LOCALLY_SOLVED
scenario_319,44947.49611212577,34826.36886649151,1819537.3197965447,1899311.184775162,2.1266469955444336,14.533889055252075,0.0,16.871378898620605,66.52332091331482,59321.74381552326,7.233729124069214,NUMERICAL_ERROR
scenario_320,28205.51652981024,1.0463116384991054,5139453.280239161,5167659.84308061,2.112527847290039,19.194041967391968,0.0,21.586963891983032,57.384830951690674,29555.739357324503,11.075361013412476,LOCALLY_SOLVED
scenario_321,29791.871272407698,0.5897645611327816,6085104.178766013,6114896.639802982,2.610790967941284,16.65558099746704,0.0,19.477515935897827,56.51097917556763,33375.03780640494,8.080929040908813,LOCALLY_SOLVED
scenario_322,27971.72325851314,0.6409207358573149,9623057.863359151,9651030.227538403,2.1446409225463867,32.41925501823425,0.0,34.78766083717346,60.388344049453735,28454.828554205327,25.126684188842773,LOCALLY_SOLVED
scenario_323,40878.45531613471,1.2071949907133253,733319.4582913296,774199.120802455,2.2354300022125244,36.4052951335907,0.0,38.85163021087647,63.14684820175171,266258.6397395734,29.102713108062744,NUMERICAL_ERROR
scenario_324,45294.18817529178,1.314125457049198,589350.464082407,634645.9663831558,2.1439130306243896,67.83092308044434,0.0,70.18551111221313,64.31438183784485,1166010.8246572902,60.564717054367065,ALMOST_LOCALLY_SOLVED
scenario_325,44698.44942848384,0.7860833792897868,409480.6080119095,454179.8435237726,2.1600210666656494,18.257889986038208,0.0,20.6300311088562,42.11533808708191,153709.31423652978,10.87442183494568,LOCALLY_SOLVED
